Standard,206/238,2s,207/235,2s,207/206,2s,Reference,Age,Age 2s
Ples,0.05371,0.000032,0.394161,0.00035,0.053242,0.000021,Slama et al. 2008,338,1
Ples,0.053717,0.000032,0.394372,0.00035,0.053263,0.000021,Slama et al. 2008,338,1
Ples,0.053714,0.000032,0.394244,0.00035,0.053248,0.000021,Slama et al. 2008,338,1
Ples,0.053706,0.000032,0.394331,0.00035,0.053268,0.000021,Slama et al. 2008,338,1
Ples,0.053715,0.000032,0.394216,0.00035,0.053244,0.000021,Slama et al. 2008,338,1
Ples,0.053684,0.000032,0.393936,0.00035,0.053237,0.000021,Slama et al. 2008,338,1
Ples,0.053684,0.000032,0.394093,0.00035,0.053258,0.000021,Slama et al. 2008,338,1
Ples,0.053721,0.000032,0.394228,0.00035,0.053239,0.000021,Slama et al. 2008,338,1
Ples,0.053529,0.000032,0.392655,0.00035,0.053217,0.000021,Slama et al. 2008,338,1
Ples,0.053745,0.000032,0.394425,0.00035,0.053242,0.000021,Slama et al. 2008,338,1
Ples,0.053644,0.000032,0.39364,0.00035,0.053236,0.000021,Slama et al. 2008,338,1
Ples,0.05365,0.000032,0.393663,0.00035,0.053233,0.000021,Slama et al. 2008,338,1
Ples,0.053672,0.000032,0.393913,0.00035,0.053246,0.000021,Slama et al. 2008,338,1
Ples,0.053655,0.000032,0.393721,0.00035,0.053237,0.000021,Slama et al. 2008,338,1
Ples,0.053659,0.000032,0.393949,0.00035,0.053263,0.000021,Slama et al. 2008,338,1
Ples,0.05362,0.000032,0.394,0.00035,0.05329,0.000021,Slama et al. 2008,338,1
Ples,0.05364,0.000032,0.3939,0.00035,0.05327,0.000021,Slama et al. 2008,338,1
Ples,0.05365,0.000032,0.3946,0.00035,0.0533,0.000021,Slama et al. 2008,338,1
Oracle,0.24754148,0.000222787,3.042295,0.001521148,,,Sam Bowring written comm with Gehrels,1436,2
9453,0.008677899,0.000218116,0.056076568,0.002328089,,,"Klepeis et al., 1998",55.5,1.5
9453,0.008584021,0.000140211,0.055556657,0.001315549,,,"Klepeis et al., 1998",55.5,1.5
9453,0.008709194,0.00010906,0.056700798,0.001620023,,,"Klepeis et al., 1998",55.5,1.5
9453,0.008724841,0.000171381,0.057013052,0.001518998,,,"Klepeis et al., 1998",55.5,1.5
9453,0.008662252,0.000109057,0.056596734,0.001214957,,,"Klepeis et al., 1998",55.5,1.5
91500,0.17928,0.00032,1.851,0.0038,0.07488,0.00004,Weideneck et al. 1995,1062.5,2.5
91500,0.17936,0.00032,1.8508,0.0038,0.07484,0.00004,Weideneck et al. 1995,1062.5,2.5
91500,0.17924,0.00032,1.8505,0.0038,0.07487,0.00004,Weideneck et al. 1995,1062.5,2.5
91500,0.17892,0.00032,1.8479,0.0036,0.07491,0.00004,Weideneck et al. 1995,1062.5,2.5
91500,0.17954,0.00072,1.8534,0.008,0.07487,0.00006,Weideneck et al. 1995,1062.5,2.5
91500,0.17974,0.0005,1.8556,0.0058,0.07488,0.00006,Weideneck et al. 1995,1062.5,2.5
91500,0.17857,0.0006,1.8437,0.0066,0.07488,0.00006,Weideneck et al. 1995,1062.5,2.5
91500,0.17882,0.0006,1.8471,0.0066,0.07492,0.00006,Weideneck et al. 1995,1062.5,2.5
91500,0.17919,0.00028,1.8518,0.004,0.07495,0.00008,Weideneck et al. 1995,1062.5,2.5
91500,0.17882,0.00037,1.8478,0.0048,0.07494,0.00012,Weideneck et al. 1995,1062.5,2.5
91500,0.17925,0.00028,1.8518,0.0042,0.07493,0.0001,Weideneck et al. 1995,1062.5,2.5
